entity_text,word_length,bert_token_count,biobert_token_count
Botox,1,2,3
Toxic hepatitis,2,2,6
facial inflammatory dermatoses,3,5,6
liver damage,2,2,2
ara-C,1,3,4
dextrose,1,3,4
nephrotoxicity,1,6,6
impairment of the renal function,5,5,8
myopathic disease,2,4,5
pulmonary mass,2,2,2
haematological malignancies,2,7,8
necroses,1,3,4
neurotoxicity,1,5,5
genotoxicity,1,4,5
VT,1,1,2
Rhabdomyolysis,1,5,5
Cholecystokinin-octapeptide,1,11,11
oligomenorrhea,1,6,7
AV block,2,2,3
L-arginine,1,5,6
gallbladder disease,2,4,5
corneal opacities,2,5,5
Neutropenia,1,4,5
pamidronate,1,4,4
Acute renal insufficiency,3,6,7
eosin,1,3,3
Nausea,1,1,3
domperione,1,4,3
chronic hepatitis B,3,3,5
hyperinsulinemia,1,4,5
visual loss,2,2,2
mefenamic acid,2,5,5
isoniazid,1,4,4
Curcumin,1,4,4
neuropsychiatric symptoms,2,6,6
tubular necrosis,2,3,5
enflurane,1,4,4
"Re, Rg1, and Rb1 ginsenosides",5,13,15
cobalt,1,1,2
Atropine,1,3,3
acute myocardial infarction,3,7,8
HUS,1,2,2
Cocaine,1,1,2
sterol,1,2,3
pergolide,1,3,3
Fanconi syndrome,2,4,4
conjugated estrogens,2,6,6
Quinine,1,2,3
daptomycin,1,4,4
consumption coagulopathies,2,6,6
Cytomegalovirus infections,2,6,6
diazinon,1,3,3
intracranial vascular thrombosis,3,8,10
diabetes insipidus,2,5,5
SS,1,1,1
3-nitrotyrosine,1,7,7
ischemic brain injury,3,5,5
MD,1,1,1
cutaneous lupus erythematosus,3,9,10
statins,1,2,3
nifekalant,1,4,4
Thrombotic,1,4,4
contrast,1,1,1
Myoclonic movements,2,5,5
Paroxetine,1,4,4
patent ductus arteriosus,3,6,7
levofloxacin,1,5,6
HTN,1,3,3
desferrioxamine,1,5,5
chronic hepatitis B virus infection,5,5,7
pentazocine,1,4,4
Adriamycin,1,4,4
toxocity,1,4,4
azotemia,1,3,4
immunocytoma,1,5,6
embryolethality,1,4,6
progestagen,1,4,4
ruthenium,1,3,4
crocin,1,3,3
amnesia,1,1,2
isradipine,1,4,4
HITT,1,2,3
glomerular disease,2,5,5
Hyperosmolar nonketotic coma,3,9,9
Cyclophosphamide,1,6,7
pain,1,1,1
atrial fibrillation,2,5,6
vitamin E,2,2,2
SNP,1,2,2
cramps,1,2,3
Seizure,1,1,3
inositol,1,4,4
ischaemic,1,4,4
hexamethylmelamine,1,6,6
Methamphetamine,1,5,4
thalidomide,1,4,4
ischaemia,1,3,3
norpethidine,1,4,4
BNPP,1,2,3
multicystic encephalomalacia,2,9,10
mastodynia,1,4,3
atenolol,1,4,4
bronchiectasis,1,5,6
blurred vision,2,2,2
Hoechst 33342,2,5,5
arrhythmia,1,5,5
Tetrabenazine,1,5,5
AFL,1,1,1
gastrointestinal bleeding,2,5,6
intracranial hypertension,2,5,9
trimetaphan,1,4,4
mitochondrial abnormalities,2,2,3
testosterone,1,1,2
BUN,1,1,2
TdP,1,2,3
circulatory failure,2,5,5
gestodene,1,4,4
Neurologic toxicities,2,5,6
busulfan,1,3,3
Syncope,1,2,3
end-stage renal disease,3,5,6
hypokalemia,1,5,5
Renal failure,2,2,3
iocarmate,1,3,4
DES,1,1,2
ropivacaine,1,4,5
myocardial injury,2,4,5
intrauterine growth retardation,3,7,8
overdose,1,1,3
LNNA,1,2,3
hypothermia,1,5,5
Nitric oxide,2,3,3
potassium aspartate,2,4,4
TMP-SMZ,1,5,5
HIT II,2,2,3
hematologic malignancies,2,6,8
Bepridil hydrochloride,2,8,9
hypertelorism,1,4,5
ventricular dysfunction,2,4,6
vocal nerve palsies,3,4,5
HIV seroconversion,2,5,5
contrast medium,2,2,2
ischemic hemisphere,2,4,4
cephalexin,1,4,4
impaired renal function,3,3,4
neuroinflammatory,1,7,7
acetylcholine,1,5,5
hypovolemia,1,5,6
FHF,1,3,2
Valproate,1,3,4
oxcarbazepine,1,5,6
Myocardial infarction,2,6,7
drug-induced dyskinesias,2,8,8
thalassemia,1,3,4
"3,7-dimethyl-1-propargylxanthine",1,17,17
hypoparathyroidism,1,7,7
hemolysis,1,3,3
disseminated intravascular coagulation,3,9,10
subcellular degeneration,2,5,5
Extrapyramidal syndrome,2,5,5
T. chebula extract,3,5,6
seizures,1,1,2
ammonia,1,1,2
Aconitine,1,3,4
idiopathic orthostatic hypotension,3,12,12
cyproheptadine,1,5,7
immunodeficiencies,1,6,7
vasopressin,1,4,5
atrioventricular block,2,6,6
Metallothionein,1,5,5
4-aminopyridine,1,6,6
MDP,1,2,2
urethane,1,3,3
Neuroleptic,1,4,4
trimethaphan,1,4,4
Famotidine,1,4,4
hypercalcemic,1,4,5
allodynia,1,4,3
kidney injury,2,2,2
tachy- or bradycardia,3,7,8
carcinoma of the prostate,4,6,7
HPMA,1,2,2
angiotensin-converting enzyme inhibitors,3,8,9
aspirin,1,3,3
basal ganglia infarcts,3,6,6
amyloidosis,1,3,4
Myotonia congenita,2,6,6
Alendronate,1,4,4
hyperaldosteronism,1,5,6
cervical carcinoma,2,4,7
coronary arterial disease,3,4,6
brain tumors,2,2,2
myocarditis,1,4,4
iron,1,1,1
hypertrophied,1,4,5
parkinsonism,1,2,4
botox,1,2,3
glioma,1,3,3
tachycardial,1,4,4
antithyroid medications,2,4,4
impaired fear recognition,3,3,3
Levobupivacaine,1,6,6
OXC,1,2,3
substance abuse disorder,3,3,3
sinoatrial (S-A) block,3,9,9
ureteric stones or obstruction,4,6,8
Dex,1,1,1
desmethylimipramine,1,6,7
H,1,1,1
schizophrenic,1,6,6
urinary stress incontinence,3,8,8
IDM,1,2,2
nervous system abnormalities,3,3,4
AMP,1,1,2
malignancy,1,3,4
